CORPORATE_IDENTIFICATION_NUMBER,COMPANY_NAME,COMPANY_STATUS,COMPANY_CLASS,COMPANY_CATEGORY,COMPANY_SUB_CATEGORY,DATE_OF_REGISTRATION,REGISTERED_STATE,AUTHORIZED_CAP,PAIDUP_CAPITAL,INDUSTRIAL_CLASS,PRINCIPAL_BUSINESS_ACTIVITY_AS_PER_CIN,REGISTERED_OFFICE_ADDRESS,REGISTRAR_OF_COMPANIES,EMAIL_ADDR,LATEST_YEAR_ANNUAL_RETURN,LATEST_YEAR_FINANCIAL_STATEMENT
U70102AN2014PTC000229,MOHAN SINGH INFRASTRUCTURE(INDIA) PRIVATE LIMITED,Active,Private,Company limited by Shares,Non-govt company,08-08-2014,Andaman and Nicobar Islands,1000000,100000,`70102,Real Estate and Renting,SHOP NO 2 JN ROAD HADDO PORT BLAIR Andaman Islands AN IN 744102,RoC-Chennai,roc@vlp.co.in,31-03-2017,31-03-2017
U70102AN2015PTC000246,AROCKIA MADHA PROPERTIES & CONSTRUCTIONS PRIVATE LIMITED,Active,Private,Company limited by Shares,Non-govt company,13-02-2015,Andaman and Nicobar Islands,2000000,100000,`70102,Real Estate and Renting,"C-67, HOTEL PORT RESIDENCY CARI ROAD, BHATU BASTI, PORT BLAIR Andaman Islands AN IN 744105",RoC-Chennai,babu.badat@gmail.com,NA,NA
U70103AN2016PTC005327,FLYWHEEL REALTY PRIVATE LIMITED,Active,Private,Company limited by Shares,Non-govt company,30-12-2016,Andaman and Nicobar Islands,100000,100000,`70103,Real Estate and Renting,NEAR ASLAM INSPECTOR HOUSE PHONIX BAY PORT BLAIR Andaman Islands AN IN 744101,RCAND,NVSABITH@GMAIL.COM,31-03-2017,31-03-2017
U70109AN2011PTC005363,KEC PROJECTS PRIVATE LIMITED,Active,Private,Company limited by Shares,Non-govt company,07-04-2011,Andaman and Nicobar Islands,5000000,200000,`70109,Real Estate and Renting,"WARD NO.18, PLOT NO.22, HARBOUR COLONY AUSTINABAD, P.O.-BREEZGANG PORT BLAIR Andaman Islands AN IN 744103",RCAND,chadhakailash25@gmail.com,31-03-2017,31-03-2017
U70109AN2012PTC000180,ASANS PROJECTS PRIVATE LIMITED,Active,Private,Company limited by Shares,Non-govt company,28-09-2012,Andaman and Nicobar Islands,500000,500000,`70109,Real Estate and Renting,"C-41(2) ATLANTA POINT, WARD NO-12 PORT BLAIR Andaman Islands AN IN 744104",RoC-Chennai,roc.casatya@gmail.com,NA,NA
U70109AN2013PTC000189,ISLAND GATEWAY PROPERTY DEVELOPERS PRIVATE LIMITED,Active,Private,Company limited by Shares,Non-govt company,27-03-2013,Andaman and Nicobar Islands,500000,500000,`70109,Real Estate and Renting,1/86 JN ROAD HADDO PORT BLAIR Andaman Islands AN IN 744103,RoC-Chennai,ROC@VLP.CO.IN,NA,NA
U70109AN2017PTC005331,SWAMY VINAYAGAR REAL ESTATE PRIVATE LIMITED,Active,Private,Company limited by Shares,Non-govt company,10-01-2017,Andaman and Nicobar Islands,1000000,100000,`70109,Real Estate and Renting,PROTHRAPUR SOUTH ANDAMAN Andaman Islands AN IN 744105,RCAND,GDURAISWAMY.DSC@GMAIL.COM,31-03-2017,31-03-2017
U70109AN2017PTC005332,LUCKY HOME REAL ESTATE PRIVATE LIMITED,Active,Private,Company limited by Shares,Non-govt company,13-01-2017,Andaman and Nicobar Islands,1000000,500000,`70109,Real Estate and Renting,"Garacharma Village, Port Blair Tehsil, South Andaman Port Blair Andaman Islands AN IN 744105",RCAND,ajay500capitaltandt@gmail.com,NA,NA
U70109AN2017PTC005338,HANIF INFRASTRUCTURE PRIVATE LIMITED,Active,Private,Company limited by Shares,Non-govt company,08-02-2017,Andaman and Nicobar Islands,1000000,100000,`70109,Real Estate and Renting,M/LINE CIVIL WIRLESS JUN. ANDAMAN Andaman Islands AN IN 744106,RCAND,hanif.hanif755@gmail.com,31-03-2017,31-03-2017
U72900AN2013PTC000212,TOTTOCRAFT TECHNOLOGIES PRIVATE LIMITED,Active,Private,Company limited by Shares,Non-govt company,27-09-2013,Andaman and Nicobar Islands,100000,100000,`72900,Business Services,"Binu Pappan Building, 1st Floor FS - 2,Rich Street Near Loknath Mandir, Dollygunj Port Blair, South Andaman Andaman Islands AN IN 744103",RoC-Chennai,roy.swapnesh@gmail.com,NA,NA
U72900AN2014PTC000239,GKR TECHSOFT PRIVATE LIMITED,Active,Private,Company limited by Shares,Non-govt company,23-12-2014,Andaman and Nicobar Islands,100000,100000,`72900,Business Services,"THIRUMOOLAM BHAVAN, OPPOSITE TO ARAFA ELECTRONICS JUNGLIGHAT PORT BLAIR Andaman Islands AN IN 744103",RoC-Chennai,gkrtechnology@gmail.com,NA,NA
U72900AN2015PTC000243,DIVYANGA TECHNOLOGY SOLUTIONS PRIVATE LIMITED,Active,Private,Company limited by Shares,Non-govt company,06-02-2015,Andaman and Nicobar Islands,200000,100000,`72900,Business Services,PROTHRAPUR SOUTH ANDAMAN PORT BLAIR Andaman Islands AN IN 744101,RoC-Chennai,babu.badat@gmail.com,NA,NA
U40103AN2009PTC000111,SUNNY POWER TECH PRIVATE LIMITED,Active,Private,Company limited by Shares,Non-govt company,26-03-2009,Andaman and Nicobar Islands,1000000,1000000,`40103,"Electricity, Gas & Water companies","SURVEY NO - 4/2 PROTHRAPUR, GARACHARMA POST. PORT BLAIR AN IN 744105",RoC-Chennai,satya_ani@sify.com,31-03-2011,31-03-2011
U41000AN2005PTC000076,ANDAMAN WATERS PRIVATE LIMITED,Strike Off,Private,Company limited by Shares,Non-govt company,23-08-2005,Andaman and Nicobar Islands,1000000,100000,`41000,"Electricity, Gas & Water companies","Mehmood Manzil, S.No.M.B 33, Atlanta Point,Abeerdeen Bazaar Port Blair AN IN 744101",RoC-Chennai,captvenkat@gmail.com,31-03-2013,31-03-2013
U45200AN2007PTC000089,RCS INFRASTRUCTURE PRIVATE LIMITED,Active,Private,Company limited by Shares,Non-govt company,23-10-2007,Andaman and Nicobar Islands,3000000,3000000,`45200,Construction,"LAXMI HOLLOW BLOCK INDUSTRY BATHUBASTHI, GARACHARMA POST PORT BLAIR AN IN 744101",RoC-Chennai,babu.badat@gmail.com,31-03-2015,31-03-2015
U45200AN2008PTC000098,MALIK INFRASTRUCTURE (INDIA) PRIVATE LIMITED,Active,Private,Company limited by Shares,Non-govt company,27-05-2008,Andaman and Nicobar Islands,1000000,1000000,`45200,Construction,"MGR 3/A, JUNGLIGHAT PORT BLAIR AN IN 744103",RoC-Chennai,ROC@VLP.CO.IN,31-03-2017,31-03-2017
U45200AN2008PTC000100,BHARAT MULTITECH INDUSTRIES PRIVATE LIMITED,Active,Private,Company limited by Shares,Non-govt company,15-07-2008,Andaman and Nicobar Islands,10000000,7500000,`45200,Construction,"MGR 3/A, Junglighat, No.7, PB No.539, Port Blair AN IN 744103",RoC-Chennai,babu.badat@gmail.com,31-03-2017,31-03-2017
U45200AN2009PTC000124,AYUSH JOTI BUILDERS PRIVATE LIMITED,Active,Private,Company limited by Shares,Non-govt company,23-11-2009,Andaman and Nicobar Islands,100000,100000,`45200,Construction,SHOP NO. 7 BENGALI CLUB BUILDING PORT BLAIR AN IN 744101,RoC-Chennai,ROC@VLP.CO.IN,31-03-2017,31-03-2017
U45200AN2010PTC000133,MADURAI MEENAKSHI CONSTRUCTION (INDIA)PRIVATE LIMITED,Strike Off,Private,Company limited by Shares,Non-govt company,22-03-2010,Andaman and Nicobar Islands,500000,450000,`45200,Construction,57(1) DAIRY FARM WARD NO.7 PORT BLAIR Andaman Islands AN IN 744103,RoC-Chennai,MAILVLP@AOL.COM,NA,NA
U45200AN2010PTC000141,ARASI PROJECTS PRIVATE LIMITED,Strike Off,Private,Company limited by Shares,Non-govt company,04-05-2010,Andaman and Nicobar Islands,100000,100000,`45200,Construction,"No-22, CHURCH LANE GOALGHAR, JUNGLIGHAT PORT BLAIR Andaman Islands AN IN 744102",RoC-Chennai,efile.casatya@gmail.com,NA,NA
U45200AN2010PTC000142,SAKTHI BUILDERS (INDIA) PRIVATE LIMITED,Active,Private,Company limited by Shares,Non-govt company,04-05-2010,Andaman and Nicobar Islands,2000000,837500,`45200,Construction,JUNGLIGHAT PORT BLAIR Andaman Islands AN IN 744103,RoC-Chennai,babu.badat@gmail.com,31-03-2016,31-03-2016
U45200AN2011PTC000153,S K S & DEVELOPERS PRIVATE LIMITED,Strike Off,Private,Company limited by Shares,Non-govt company,22-03-2011,Andaman and Nicobar Islands,1000000,900000,`45200,Construction,NEAR APWD CENTRAL STORE PHOENIX BAY PORT BLAIR Andaman Islands AN IN 744101,RoC-Chennai,roc.casatya@gmail.com,NA,NA
U45200AN2011PTC000162,PRASHANTH ERECTOR AND BUILDERS PRIVATE LIMITED,Active,Private,Company limited by Shares,Non-govt company,02-09-2011,Andaman and Nicobar Islands,5000000,5000000,`45200,Construction,109 M G ROAD MIDDLE POINT PORT BLAIR AN IN 744102,RoC-Chennai,roybagchi@gmail.com,31-03-2017,31-03-2017
U45200AN2015PTC000253,LEMON HOUSING PRIVATE LIMITED,Active,Private,Company limited by Shares,Non-govt company,10-04-2015,Andaman and Nicobar Islands,100000,100000,`45200,Construction,"Opp. GOVT SCHOOL PLAY GROUND, BHATU BASTI, GARACHARMA (PO), S/ ANDAMAN, PORT BLAIR Andaman Andaman Islands AN IN 744105",RoC-Chennai,roc@vlp.co.in,31-03-2016,31-03-2016
U45200AN2015PTC000257,ARQ PROPERTIES PRIVATE LIMITED,Active,Private,Company limited by Shares,Non-govt company,07-05-2015,Andaman and Nicobar Islands,100000,100000,`45200,Construction,"OPP.GATE. NO.3 JUNGLIGHAT JETTY, SOUTH ANDAMAN, PORT BLAIR PORT BLAIR Andaman Islands AN IN 744103",RoC-Chennai,roc@vlp.co.in,31-03-2016,31-03-2016
U45200AN2015PTC000264,CSE CONSTRUCTION (INDIA) PRIVATE LIMITED,Active,Private,Company limited by Shares,Non-govt company,29-06-2015,Andaman and Nicobar Islands,10000000,1000000,`45200,Construction,PHOENIX BAY SOUTH ANDAMAN PORT BLAIR Andaman Islands AN IN 744102,RoC-Chennai,group_engineers@rediffmail.com,31-03-2016,31-03-2016
U67190AN2013PLC000209,ANDAMAN & NICOBAR MICRO FINANCE CONSULTANCY LIMITED,Active,Public,Company limited by Shares,Non-govt company,16-09-2013,Andaman and Nicobar Islands,20000000,10000000,`67190,Finance,"1, SUBHAS BAZAR MARKET COMPLEX, ROOM NO. 3 1ST FLOOR, DIGLIPUR, NORTH ANDAMAN ANDAMAN Andaman Islands AN IN 744202",RoC-Chennai,bikashdas17021973@gmail.com,NA,NA
U70100AN2016PTC005302,OUR CLCTODAY PRIVATE LIMITED,Active,Private,Company limited by Shares,Non-govt company,30-05-2016,Andaman and Nicobar Islands,100000,100000,`70100,Real Estate and Renting,"Plot No. 4, Senior Citizen Colony, Port Blair Tehsil, South Adaman Adaman Andaman Islands AN IN 744103",RCAND,razakhan336@gmail.com,NA,NA
U70101AN2014PTC000225,SKIER PROPERTIES DEVELOPER PRIVATE LIMITED,Active,Private,Company limited by Shares,Non-govt company,15-07-2014,Andaman and Nicobar Islands,100000,100000,`70101,Real Estate and Renting,BURMANALLA BIMILITAN P.O PORT BLAIR Andaman Islands AN IN 744105,RoC-Chennai,ROC@VLP.CO.IN,31-03-2017,31-03-2017
U70101AN2014PTC000228,LOKENATH INFRA DEVELOPER PRIVATE LIMITED,Active,Private,Company limited by Shares,Non-govt company,06-08-2014,Andaman and Nicobar Islands,1000000,1000000,`70101,Real Estate and Renting,"Survey No-78, C-58 Phoenix Bay, Ward No-6 Port Blair Andaman Islands AN IN 744102",RoC-Chennai,roc.casatya@gmail.com,NA,NA
U45201AN1983PTC000010,PRASHANTH CONSTRUCTIONS AND ENGINEERING COMPANY PRIVATE LIMITED,Strike Off,Private,Company limited by Shares,Non-govt company,25-11-1983,Andaman and Nicobar Islands,1500000,0,`45201,Construction,xx xx AN IN 744104,RoC-Chennai,NA,NA,NA
U45201AN2003PTC000068,G.R. REAL ESTATES PRIVATE LIMITED,Strike Off,Private,Company limited by Shares,Non-govt company,10-02-2003,Andaman and Nicobar Islands,1000000,20000,`45201,Construction,"G B 178, Junglighat Port Blair AN IN 744101",RoC-Chennai,NA,NA,NA
U45201AN2003PTC000069,S.H. REALTORS PRIVATE LIMITED,Active,Private,Company limited by Shares,Non-govt company,07-11-2003,Andaman and Nicobar Islands,1000000,0,`45201,Construction,Junglighat Port Blair Andaman Islands AN IN 744101,RoC-Chennai,cababubadat@gmail.com,NA,NA
U45201AN2004PTC000072,LOKENATH REAL ESTATE PRIVATE LIMITED,Active,Private,Company limited by Shares,Non-govt company,20-05-2004,Andaman and Nicobar Islands,1000000,170000,`45201,Construction,14 FMC Road PremNagar Port Blair AN IN 744102,RoC-Chennai,ROC@VLP.CO.IN,31-03-2017,31-03-2016
U45201AN2006PTC000078,A G P CONSTRUCTIONS COMPANY PRIVATE LIMITED,Active,Private,Company limited by Shares,Non-govt company,18-10-2006,Andaman and Nicobar Islands,2000000,500000,`45201,Construction,Bathu basti Garacharma Port Blair AN IN 744102,RoC-Chennai,babu.badat@gmail.com,31-03-2016,31-03-2016
U45201AN2007PTC000085,KAMPS PROJECTS PRIVATE LIMITED,Active,Private,Company limited by Shares,Non-govt company,20-06-2007,Andaman and Nicobar Islands,5000000,5000000,`45201,Construction,Gati Coast to Coast Build Delanipur Port Blair AN IN 744102,RoC-Chennai,kampspbl@yahoo.com,31-03-2017,31-03-2017
U45201AN2007PTC000086,ANDAMAN NIRMAN PRIVATE LIMITED,Active,Private,Company limited by Shares,Non-govt company,11-07-2007,Andaman and Nicobar Islands,2000000,2000000,`45201,Construction,Junglighat Port Blair AN IN 744102,RoC-Chennai,sriomtraders@rediffmail.com,31-03-2017,31-03-2017
U45201AN2012PTC000185,HITECH CIVIL ENGINEERS PRIVATE LIMITED,Active,Private,Company limited by Shares,Non-govt company,20-12-2012,Andaman and Nicobar Islands,1000000,800000,`45201,Construction,"PLOT NO. 9, 8/9 SAHAJEEVAN COLONY POST BOX NO.721, HADDO PORT BLAIR AN IN 744102",RoC-Chennai,ravichandransca@yahoo.com,31-03-2017,31-03-2017
U45201AN2013PTC000204,ISLAND REALCON INDIA PRIVATE LIMITED,Active,Private,Company limited by Shares,Non-govt company,31-07-2013,Andaman and Nicobar Islands,1000000,1000000,`45201,Construction,SHOP NO 3 GANDHI BHAVAN PHONEIX BAY PORT BLAIR Andaman Islands AN IN 744101,RoC-Chennai,islandrealcon@gmail.com,31-03-2017,31-03-2017
U45201AN2014PTC000218,ARUL EARTH MOVERS PRIVATE LIMITED,Active,Private,Company limited by Shares,Non-govt company,10-03-2014,Andaman and Nicobar Islands,2000000,100000,`45201,Construction,BIMBLITAN GARACHARMA PORT BLAIR Andaman Islands AN IN 744101,RoC-Chennai,babu.badat@gmail.com,NA,NA
U70200AN2013PTC000200,SALCON INFRA ENGINEERING PRIVATE LIMITED,Active,Private,Company limited by Shares,Non-govt company,28-06-2013,Andaman and Nicobar Islands,5000000,5000000,`70200,Real Estate and Renting,NO. 6 DESH MESH MARKET PORT BLAIR Andaman Islands AN IN 744101,RoC-Chennai,saluja_sharnjit@rediffmail.com,NA,NA
U70200AN2013PTC000207,JAYA REALTORS PRIVATE LIMITED,Active,Private,Company limited by Shares,Non-govt company,22-08-2013,Andaman and Nicobar Islands,500000,150000,`70200,Real Estate and Renting,HADDO PORT BLAIR Andaman Islands AN IN 744101,RoC-Chennai,babu.badat@gmail.com,NA,NA
U70200AN2013PTC000211,Z KING GLOBAL REAL ESTATE PRIVATE LIMITED,Active,Private,Company limited by Shares,Non-govt company,24-09-2013,Andaman and Nicobar Islands,500000,100000,`70200,Real Estate and Renting,C-38 MANPUR FERRARGUNG Andaman Islands AN IN 744104,RoC-Chennai,roybagchi@gmail.com,NA,NA
U70200AN2015PTC000249,R G T CITY REAL ESTATE PRIVATE LIMITED,Active,Private,Company limited by Shares,Non-govt company,25-02-2015,Andaman and Nicobar Islands,1000000,1000000,`70200,Real Estate and Renting,RANGAT PORT BLAIR AN IN 744205,RoC-Chennai,ROC@VLP.CO.IN,31-03-2016,31-03-2016
U70200AN2016PTC000287,SHIKSHA CONTRACTORS AND TRADERS PRIVATE LIMITED,Active,Private,Company limited by Shares,Non-govt company,26-02-2016,Andaman and Nicobar Islands,500000,100000,`70200,Real Estate and Renting,GARACHARMA VILLAGE PORT BLAIR Andaman Islands AN IN 744105,RoC-Chennai,MAIL2DHARVINDER@GMAIL.COM,31-03-2017,31-03-2017
U70200AN2017PTC005359,VISTARAN DEVELOPERS PRIVATE LIMITED,Active,Private,Company limited by Shares,Non-govt company,03-08-2017,Andaman and Nicobar Islands,1000000,100000,`70200,Real Estate and Renting,"HUNGAMA CHAT M.G.ROAD, JUNGLIGHAT PORT BLAIR Andaman Islands AN IN 744103",RCAND,VISTARANDEVELOPERS@GMAIL.COM,NA,NA
U72200AN2000PTC000064,ANDAMAN TECHNO VISION PRIVATE LIMITED,Strike Off,Private,Company limited by Shares,Non-govt company,27-12-2000,Andaman and Nicobar Islands,1000000,0,`72200,Business Services,Port Blair Port Blair AN IN 744101,RoC-Chennai,NA,NA,NA
U72200AN2009PTC000107,EPAY COMPUTER SERVICES PRIVATE LIMITED,Active,Private,Company limited by Shares,Non-govt company,09-01-2009,Andaman and Nicobar Islands,100000,100000,`72200,Business Services,CH-14/1 CHURCH ROAD PHOENIX BAY PORT BLAIR AN IN 744101,RoC-Chennai,ROC@vlp.co.in,15-09-2013,31-03-2012
U45202AN2010PTC000130,M N V INFRASTRUCTURE (INDIA) PRIVATE LIMITED,Strike Off,Private,Company limited by Shares,Non-govt company,20-01-2010,Andaman and Nicobar Islands,500000,100000,`45202,Construction,MB 8/153 DAIRY FARM PO JUNGLIGHAT PORT BLAIR Andaman Islands AN IN 744103,RoC-Chennai,CA.PATEL@VLP.CO.IN,31-03-2011,31-03-2011
U45202AN2014PTC000224,MANICKAM PROJECTS PRIVATE LIMITED,Active,Private,Company limited by Shares,Non-govt company,09-07-2014,Andaman and Nicobar Islands,2000000,150000,`45202,Construction,"NO. 16 H.C ROAD HORTICULTURE ROAD, HADDO PORT BLAIR Andaman Islands AN IN 744102",RoC-Chennai,babu.badat@gmail.com,NA,NA
U45203AN2010PTC000136,S K SHAKTI BUILDERS PRIVATE LIMITED,Strike Off,Private,Company limited by Shares,Non-govt company,27-03-2010,Andaman and Nicobar Islands,500000,500000,`45203,Construction,ABERDEEN BAZAR PORT BLAIR Andaman Islands AN IN 744101,RoC-Chennai,MAILVLP@AOL.COM,NA,NA
U45203AN2010PTC000140,GCVD INFRATECH PRIVATE LIMITED,Active,Private,Company limited by Shares,Non-govt company,30-04-2010,Andaman and Nicobar Islands,1000000,750000,`45203,Construction,V.I.P. ROAD JUNGLIGHAT PORT BLAIR AN IN 744101,RoC-Chennai,efile.casatya@gmail.com,31-03-2017,31-03-2017
U45206AN2016PTC000282,AL VIJAY INFRASTRUCTURE PRIVATE LIMITED,Active,Private,Company limited by Shares,Non-govt company,17-02-2016,Andaman and Nicobar Islands,2000000,900000,`45206,Construction,"NO. 4, WARD NO 14 GURUDWARA LINE PORT BLAIR Andaman Islands AN IN 744101",RoC-Chennai,babu.badat@gmail.com,NA,NA
U45206AN2016PTC000293,R.M SATTAIAPPAN CONSTRUCTION PRIVATE LIMITED,Active,Private,Company limited by Shares,Non-govt company,18-03-2016,Andaman and Nicobar Islands,2000000,100000,`45206,Construction,VILLAGE JUNGLIGHAT TEHSIL PORT BLAIR PORT BLAIR Andaman Islands AN IN 744103,RoC-Chennai,babu.badat@gmail.com,NA,NA
U45208AN2011PTC000155,M SUBRAMANIAM ENGINEERING PRIVATE LIMITED,Strike Off,Private,Company limited by Shares,Non-govt company,19-04-2011,Andaman and Nicobar Islands,1000000,1000000,`45208,Construction,"HOTEL MSM DIARY FARM JUNCTION, JUNGLIGHAT POST PORT BLAIR Andaman Islands AN IN 744103",RoC-Chennai,roc.casatya@gmail.com,NA,NA
U45208AN2011PTC000165,P SURYA RAO CONSTRUCTION (INDIA) PRIVATE LIMITED,Strike Off,Private,Company limited by Shares,Non-govt company,03-10-2011,Andaman and Nicobar Islands,500000,500000,`45208,Construction,109 M G ROAD MIDDLE POINT PORT BLAIR Andaman Islands AN IN 744101,RoC-Chennai,CA.PATEL@VLP.CO.IN,NA,NA
U45208AN2013PLC000202,ANID PROJECTS LIMITED,Active,Public,Company limited by Shares,Non-govt company,26-07-2013,Andaman and Nicobar Islands,500000,500000,`45208,Construction,GOAL GHAR PORT BLAIR Andaman Islands AN IN 744102,RoC-Chennai,babu.badat@gmail.com,NA,NA
U45208AN2013PTC000191,LALL INFRASTRUCTURES PRIVATE LIMITED,Active,Private,Company limited by Shares,Non-govt company,08-04-2013,Andaman and Nicobar Islands,100000,100000,`45208,Construction,BIRDLINE PROTHRAPUR PORT BLAIR Andaman Islands AN IN 744103,RoC-Chennai,ROC@VLP.CO.IN,NA,NA
U45208AN2013PTC000197,C M ROY CONSTRUCTION PRIVATE LIMITED,Active,Private,Company limited by Shares,Non-govt company,06-06-2013,Andaman and Nicobar Islands,2000000,2000000,`45208,Construction,ROOM NO. 11 MARTHOMA CHURCH COMPLEX GOAL GHAR PORT BLAIR Andaman Islands AN IN 744102,RoC-Chennai,cmroycontractor@yahoo.com,31-03-2017,31-03-2017
U45209AN2009PTC000108,MANICKAM CONSTRUCTIONS PRIVATE LIMITED,Active,Private,Company limited by Shares,Non-govt company,02-02-2009,Andaman and Nicobar Islands,1000000,810000,`45209,Construction,132/10 J.N ROAD HADDO PORT BLAIR Andaman Islands AN IN 744101,RoC-Chennai,babu.badat@gmail.com,NA,31-03-2012
U45209AN2011PTC000163,RAVI REALCON PRIVATE LIMITED,Active,Private,Company limited by Shares,Non-govt company,19-09-2011,Andaman and Nicobar Islands,5000000,3245000,`45209,Construction,NO. 75 J.N ROAD HADDO HADDO PORT BLAIR AN IN 744102,RoC-Chennai,ravirealconpltd@gmail.com,31-03-2017,31-03-2017
U45209AN2016PTC005310,ISLANDER HOUSING PROJECT PRIVATE LIMITED,Active,Private,Company limited by Shares,Non-govt company,12-08-2016,Andaman and Nicobar Islands,2000000,500000,`45209,Construction,"Teylarabad, South Andaman Port Blair Andaman Islands AN IN 744105",RCAND,imfchousing@gmail.com,NA,NA
U45209AN2018PTC005402,BISWORTH CONSTRUCTIONS PRIVATE LIMITED,Active,Private,Company limited by Shares,Non-govt company,17-04-2018,Andaman and Nicobar Islands,100000,100000,`45209,Construction,"Naveen Nagar, North & Middle Andaman DIGLIPUR Andaman Islands AN IN 744202",RCAND,abhishekbiswas454@gmail.com,NA,NA
U45309AN2016PTC005305,ANIIDA DEVELOPERS AND PROMOTERS PRIVATE LIMITED,Active,Private,Company limited by Shares,Non-govt company,13-06-2016,Andaman and Nicobar Islands,1000000,100000,`45309,Construction,"C-12 SHADIPUR 2ND FLOOR,PORT BLAIR, ANDAMAN AND NICOBAR ISLANDS Andaman Islands AN IN 744101",RoC-Chennai,ANNIIDAPVTLTD@GMAIL.COM,31-03-2017,31-03-2017
U45309AN2016PTC005319,CUSP DEVELOPERS PRIVATE LIMITED,Active,Private,Company limited by Shares,Non-govt company,05-12-2016,Andaman and Nicobar Islands,1000000,100000,`45309,Construction,"486, BUNIYADABAD PORT BLAIR Andaman Islands AN IN 744102",RCAND,roseminegroup@gmail.com,NA,NA
U45309AN2017PTC005360,VDR BLUE METAL PRIVATE LIMITED,Active,Private,Company limited by Shares,Non-govt company,24-08-2017,Andaman and Nicobar Islands,5000000,4500000,`45309,Construction,"PLA BUILDING, OPP.ITF GROUND, JUNGLIGHAT, PORT BLAIR, SOUTH ANDAMAN Andaman Islands AN IN 744103",RCAND,dscindia3@gmail.com,NA,NA
U45309AN2017PTC005373,AKABEA INFRASTRUCTURES PRIVATE LIMITED,Active,Private,Company limited by Shares,Non-govt company,20-10-2017,Andaman and Nicobar Islands,1000000,1000000,`45309,Construction,"SALIM KHAN LANE, ABERDEEN BAZAR PORT BLAIR Andaman Islands AN IN 744101",RCAND,javed@akabea.com,NA,NA
U45309AN2017PTC005383,ANDAMAN BUILDSMORE PRIVATE LIMITED,Active,Private,Company limited by Shares,Non-govt company,08-12-2017,Andaman and Nicobar Islands,100000,100000,`45309,Construction,64 M A ROAD PHOENIX BAY PORT BLAIR Andaman Islands AN IN 744101,RCAND,contact@tttrading.in,NA,NA
U45309AN2017PTC005385,SWATHI ANDAMAN INFRASTRUCTURE PRIVATE LIMITED,Active,Private,Company limited by Shares,Non-govt company,11-12-2017,Andaman and Nicobar Islands,1000000,100000,`45309,Construction,"C/o S. Subramanian, House No 1 Brookshabad Village Port Blair Andaman Islands AN IN 744112",RoC-Chennai,vivekmanian2015@gmail.com,NA,NA
U45400AN2008PTC000095,HOTEL BLUE LAGOON(ANDAMAN) PRIVATE LIMITED,Active,Private,Company limited by Shares,Non-govt company,01-02-2008,Andaman and Nicobar Islands,3000000,2220000,`45400,Construction,GARACHARMA PO GARACHARMA PORT BLAIR AN IN 744103,RoC-Chennai,ROC@VLP.CO.IN,31-03-2015,31-03-2015
U45400AN2009PTC000109,S L PROJECTS PRIVATE LIMITED,Active,Private,Company limited by Shares,Non-govt company,09-02-2009,Andaman and Nicobar Islands,1000000,800000,`45400,Construction,PROTHRAPUR PORT BLAIR PORT BLAIR AN IN 744102,RoC-Chennai,babu.badat@gmail.com,31-03-2017,31-03-2017
U45400AN2009PTC000112,GST CONSTRUCTION PRIVATE LIMITED,Active,Private,Company limited by Shares,Non-govt company,29-04-2009,Andaman and Nicobar Islands,1000000,500000,`45400,Construction,SRI VIGNESH BHAVAN PROTHRAPUR PORT BLAIR AN IN 744101,RoC-Chennai,babu.badat@gmail.com,31-03-2016,31-03-2016
U45400AN2010PTC000139,SRILEKSHMIVIHAR PROPERTIES PRIVATE LIMITED,Active,Private,Company limited by Shares,Non-govt company,23-04-2010,Andaman and Nicobar Islands,500000,500000,`45400,Construction,"ROOM NO.14 , SAPNA COMPLEX BATHUBASTI, GARACHARMA PORT BLAIR AN IN 744103",RoC-Chennai,ROC@VLP.CO.IN,31-03-2016,31-03-2016
U45400AN2012PTC000167,K C M BUILDERS AND CONSTRUCTIONS (INDIA) PRIVATE LIMITED,Active,Private,Company limited by Shares,Non-govt company,16-01-2012,Andaman and Nicobar Islands,500000,500000,`45400,Construction,"K C M BUILDERS & CONSTRUCTIONS (INDIA) PVT LTD KRIPANAND COLONY, SCHOOL LINE PORT BLAIR Andaman Islands AN IN 744103",RoC-Chennai,ROC@VLP.CO.IN,31-03-2016,31-03-2016
U45400AN2012PTC000172,S P SHUKLA BUILDERS AND CONTRACTORS PRIVATE LIMITED,Strike Off,Private,Company limited by Shares,Non-govt company,21-03-2012,Andaman and Nicobar Islands,100000,100000,`45400,Construction,NO.335 PROTHRAPUR-II PORT BLAIR Andaman Islands AN IN 744103,RoC-Chennai,ROC@VLP.CO.IN,NA,NA
U45400AN2012PTC005364,MM KAILASH CONSTRUCTION PRIVATE LIMITED,Active,Private,Company limited by Shares,Non-govt company,21-05-2012,Andaman and Nicobar Islands,5000000,200000,`45400,Construction,"WARD NO.18, HARBOUR COLONY, AUSTINABAD, P.O. - BREEZGANG, PORT BLAIR Andaman Islands AN IN 744103",RCAND,chadhakailash25@gmail.com,31-03-2017,31-03-2017
U45400AN2013PTC000195,P.G EAPPEN CONSTRUCTION PRIVATE LIMITED,Active,Private,Company limited by Shares,Non-govt company,05-06-2013,Andaman and Nicobar Islands,1000000,1000000,`45400,Construction,ROOM NO. 5 GROUND FLOOR MARTHOMA CHURCH COMPLEX GOALGHAR PORT BLAIR Andaman Islands AN IN 744101,RoC-Chennai,pgeappen08@gmail.com,31-03-2017,31-03-2017
